"","population","Env","production","rust","green"
"P761","Prec","fes",14.465760245752,-1.75173961928862,-41.7720389789879
"P771","Prec","fes",-1.1553864273612,0.677657871620708,-41.8117606547976
"P831","Prec","fes",-0.700736821786965,0.60460406322534,18.3647832338177
"P861","Prec","fes",9.2299431178992,-1.39017753063557,-19.9122738828575
"P871","Prec","fes",3.32662689881679,-1.66217097556475,-94.4659898627343
"P881","Prec","fes",-0.903392659162308,1.93647262371408,-30.7386084730871
"P891","Prec","fes",-2.61264302563242,2.17291843393702,12.0694948467643
"P901","Prec","fes",-7.57471829358578,-1.34956794241139,-69.9984712713324
"P921","Prec","fes",1.12302192553837,0.985060876839239,47.8238853402294
"P210","Prec","fes",0.258997228683111,0.273428478750531,44.1563613255382
"P101","Prec","fes",4.10975770628565,1.38326232354626,28.4251748578558
"P1001","Prec","fes",3.79479391339951,-1.62156138734057,51.7293138803459
"P141","Prec","fes",-0.51179181350158,0.188875763738974,9.17339203677672
"P151","Prec","fes",5.23847157511582,-0.0490831204811513,36.4009157991411
"P181","Prec","fes",-4.58967730363436,1.56632381635858,-35.6848816386112
"P311","Prec","fes",-1.11715079611137,-1.66217097556475,-34.7052740076733
"P331","Prec","fes",-0.749882903549698,-1.65888346180719,32.7879751845408
"P351","Prec","fes",0.736053644783679,0.580877508774691,24.0676292266907
"P371","Prec","fes",7.51661284137611,1.02877387959847,27.249382198539
"P381","Prec","fes",1.77163315169799,0.57248201669355,2.39574417836934
"P411","Prec","fes",-0.585999856549513,-0.368307205955269,-0.296672242419871
"P441","Prec","fes",-3.88345468015137,0.983003160846293,48.5249355830055
"P471","Prec","fes",5.70527697601212,-1.48485415268302,-22.4857599522199
"P491","Prec","fes",0.656288144444277,-0.549364134979072,-115.091413902055
"P541","Prec","fes",1.80916485463619,0.0148924794204329,17.3347046459755
"P551","Prec","fes",0.220806767916116,-0.321030540604705,20.859041539658
"P561","Prec","fes",-7.31398090963062,0.650505728995605,-5.33570309074929
"P601","Prec","fes",-6.15502894924843,-0.905266475914,-12.4225584654452
"P611","Prec","fes",-4.67705566334127,1.22479420081975,60.5358454106762
"P621","Prec","fes",-1.83662748228541,-1.06063831150426,34.0432962692283
"P641","Prec","fes",-4.66238889758557,-0.97082301482147,-28.9082365233734
"P651","Prec","fes",2.17697703081534,-0.883413538233784,-58.948657597882
"P941","Prec","fes",-6.12570648417766,0.415788333727415,52.5540140200044
"P951","Prec","fes",-5.21871850888651,0.359709608716837,32.5558369036571
